,stock,description,tokenized_description
299,建筑装饰,"['如何', '看', '建筑', '央企', '二季度', '签单', '加速', '？']","['如何', '看', '建筑', '央企', '二季度', '签单', '加速', '？']"
300,通信行业,"['光纤', '光缆', '升级', '提升', '数字', '中国', '全面', '启动']","['光纤', '光缆', '升级', '提升', '数字', '中国', '全面', '启动']"
301,汽车电子,"['智能', '电动车', '渗透率', '创新', '高', '板块', '催化剂', '不断']","['智能', '电动车', '渗透率', '创新', '高', '板块', '催化剂', '不断']"
302,农林牧渔,"['粮食', '危机', '未', '去', '种业', '与', '种植业', '投资', '价值', '不减']","['粮食', '危机', '未', '去', '种业', '与', '种植业', '投资', '价值', '不减']"
303,甘源食品,"['新品', '持续', '发力', '新', '渠道', '增', '亮点']","['新品', '持续', '发力', '新', '渠道', '增', '亮点']"
304,立华股份,"['股权', '激励', '彰显', '信心', '激发', '动力', '黄鸡', '反转', '行情', '下', '维持', '重点', '推荐']","['股权', '激励', '彰显', '信心', '激发', '动力', '黄鸡', '反转', '行情', '下', '维持', '重点', '推荐']"
305,英杰电气,"['守正', '出奇', '电力', '电子', '领域', '的', '隐形', '冠军']","['守正', '出奇', '电力', '电子', '领域', '的', '隐形', '冠军']"
306,三人行,"['Q2', '扣非', '增速', '高于', 'Q1', '淡季', '不淡', '体现', '突出', '竞争力']","['Q2', '扣非', '增速', '高于', 'Q1', '淡季', '不淡', '体现', '突出', '竞争力']"
307,华海清科,"['中报', '超', '指引', '营收', '净利', '维持', '高增']","['中报', '超', '指引', '营收', '净利', '维持', '高增']"
308,鼎捷软件,"['高', '景气', '维持', '工业', '软件', '细分', '领域', '加速']","['高', '景气', '维持', '工业', '软件', '细分', '领域', '加速']"
309,东华测试,"['上半年', '业绩', '超', '预期', 'PHM', '和', '电化学', '工作站', '带来', '新', '成长']","['上半年', '业绩', '超', '预期', 'PHM', '和', '电化学', '工作站', '带来', '新', '成长']"
310,容知日新,"['营收', '高增', '延续', '第三方', 'PHM', '龙头', '强者', '愈强']","['营收', '高增', '延续', '第三方', 'PHM', '龙头', '强者', '愈强']"
311,天地科技,"['龙头', '之姿', '引领', '“', '无人', '下井', '”', '采煤', '新', '时代']","['龙头', '之姿', '引领', '“', '无人', '下井', '”', '采煤', '新', '时代']"
312,江山欧派,"['零售', '渠道', '拓展', '稳步', '推进', '22H1', '盈利', '能力', '短期', '承压']","['零售', '渠道', '拓展', '稳步', '推进', '22H1', '盈利', '能力', '短期', '承压']"
313,复旦微电,"['业绩', '持续', '高', '增长', '上调', '盈利', '预测']","['业绩', '持续', '高', '增长', '上调', '盈利', '预测']"
314,三棵树,"['稀缺', '的', '本土', '涂料', '龙头', '长期', '成长', '空间', '巨大']","['稀缺', '的', '本土', '涂料', '龙头', '长期', '成长', '空间', '巨大']"
315,时代电气,"['Q2', '业绩', '符合', '预期', '新能源', '发力', '正猛']","['Q2', '业绩', '符合', '预期', '新能源', '发力', '正猛']"
316,中国海油,"['增量', '降', '本', '叠加', '历史性', '景气', '油气', '巨头', '乘风', '而', '起']","['增量', '降', '本', '叠加', '历史性', '景气', '油气', '巨头', '乘风', '而', '起']"
317,圆通速递,"['放下', '成见', '复盘', '十年', '变迁', '快递', '元老', '重回', '优秀']","['放下', '成见', '复盘', '十年', '变迁', '快递', '元老', '重回', '优秀']"
318,楚江新材,"['铜基', '材料', '龙头', '碳纤维', '开启', '第二', '增长', '曲线']","['铜基', '材料', '龙头', '碳纤维', '开启', '第二', '增长', '曲线']"
319,牧原股份,"['精进', '不休', '步步为营']","['精进', '不休', '步步为营']"
320,创维数字,"['机顶盒', '＋', '宽带', '稳固', '基本', '盘', '元', '宇宙', '＋', '汽车', '打造', '增长', '新', '曲线']","['机顶盒', '＋', '宽带', '稳固', '基本', '盘', '元', '宇宙', '＋', '汽车', '打造', '增长', '新', '曲线']"
321,鼎捷软件,"['1H22', '业绩', '符合', '预期', '全年', '展望', '实现', '持续性', '增长']","['1H22', '业绩', '符合', '预期', '全年', '展望', '实现', '持续性', '增长']"
322,立华股份,"['黄鸡', '周期', '上行', '激励', '彰显', '长期', '信心']","['黄鸡', '周期', '上行', '激励', '彰显', '长期', '信心']"
323,乐惠国际,"['从', '“', '1', '－', 'N', '”', '大规模', '复制', '开启', '；', '鲜', '啤', '业务', '渠道', '再', '突破', '＆', '鲜酿', '工坊', '开业']","['从', '“', '1', '－', 'N', '”', '大规模', '复制', '开启', '；', '鲜', '啤', '业务', '渠道', '再', '突破', '＆', '鲜酿', '工坊', '开业']"
324,万通发展,"['万通', '盛安', '获得', '信通', '院', '国际', '先进', '评定', '卫星', '互联网', '领军者', '持续', '取得', '显著', '成果']","['万通', '盛安', '获得', '信通', '院', '国际', '先进', '评定', '卫星', '互联网', '领军者', '持续', '取得', '显著', '成果']"
325,电力设备,"['国内', '电动车', '需求', '旺盛', '风光', '景气', '度', '持续', '旺盛']","['国内', '电动车', '需求', '旺盛', '风光', '景气', '度', '持续', '旺盛']"
326,中国电建,"['能源', '结构', '转型', '迎', '发展', '新机', '投建营', '一体化', '打开', '价值', '重估', '空间']","['能源', '结构', '转型', '迎', '发展', '新机', '投建营', '一体化', '打开', '价值', '重估', '空间']"
327,宝立食品,"['定制', '西调', '引领者', '方便', '速食', '加速', '放量']","['定制', '西调', '引领者', '方便', '速食', '加速', '放量']"
328,容知日新,"['跨行业', '拓展', '顺利', '营收', '、', '净利', '高速', '增长']","['跨行业', '拓展', '顺利', '营收', '、', '净利', '高速', '增长']"
329,房地产开,"['郑州', '设立', '地产', '纾', '困', '基金', '国', '常会', '再', '提', '平稳', '健康', '发展']","['郑州', '设立', '地产', '纾', '困', '基金', '国', '常会', '再', '提', '平稳', '健康', '发展']"
330,有研新材,"['国内', '靶材', '龙头', '产能', '加速', '释放', '助力', '公司', '发展']","['国内', '靶材', '龙头', '产能', '加速', '释放', '助力', '公司', '发展']"
331,德昌股份,"['主业', '盈利', '修复', '车用', '放量', '元年']","['主业', '盈利', '修复', '车用', '放量', '元年']"
332,华鲁恒升,"['二季度', '业绩', '符合', '预期', '疫情', '拖累', '部分', '产品', '景气', '回落', '，', '销售策略', '调整', '抵御', '经营风险']","['二季度', '业绩', '符合', '预期', '疫情', '拖累', '部分', '产品', '景气', '回落', '，', '销售策略', '调整', '抵御', '经营风险']"
333,环保及公,"['环保', '板块', '低', '交易', '拥挤', '度下', '有望', '迎来', '投资', '机遇', '新能源', '竞配', '政策', '规范', '保障', '绿电', '收益率']","['环保', '板块', '低', '交易', '拥挤', '度下', '有望', '迎来', '投资', '机遇', '新能源', '竞配', '政策', '规范', '保障', '绿电', '收益率']"
334,建筑材料,"['风电', '用', '碳纤维', '增长', '有望', '提速', '；', '继续', '推荐', '品牌', '建材', '细分', '龙头']","['风电', '用', '碳纤维', '增长', '有望', '提速', '；', '继续', '推荐', '品牌', '建材', '细分', '龙头']"
335,中国平安,"['平安', '人寿', '“', '优', '＋', '人才', '招募', '计划', '发布会', '”', '点评']","['平安', '人寿', '“', '优', '＋', '人才', '招募', '计划', '发布会', '”', '点评']"
336,安恒信息,"['滴滴', '事件', '落地', '数据安全', '重要性', '持续', '提升']","['滴滴', '事件', '落地', '数据安全', '重要性', '持续', '提升']"
337,广东宏大,"['民爆', '矿服', '内生', '与', '外延', '并举', '大变局', '下军贸', '业务', '可', '期']","['民爆', '矿服', '内生', '与', '外延', '并举', '大变局', '下军贸', '业务', '可', '期']"
338,鼎捷软件,"['全面', '深耕', '大陆', '市场', '领跑', '智能', '制造', '赛道']","['全面', '深耕', '大陆', '市场', '领跑', '智能', '制造', '赛道']"
339,潍柴动力,"['重卡', '发动机', '龙头', '地位', '稳固', '新', '业务', '增长', '空间', '大']","['重卡', '发动机', '龙头', '地位', '稳固', '新', '业务', '增长', '空间', '大']"
340,厦钨新能,"['聚焦', '高', '电压', '技术', '市场份额', '有望', '提升']","['聚焦', '高', '电压', '技术', '市场份额', '有望', '提升']"
341,聚光科技,"['对标', '安捷伦', '的', '科学仪器', '平台', '卸下', '包袱', '开启', '新', '征程']","['对标', '安捷伦', '的', '科学仪器', '平台', '卸下', '包袱', '开启', '新', '征程']"
342,西部矿业,"['铜精矿', '量', '价齐升', '业绩', '同比', '稳步增长']","['铜精矿', '量', '价齐升', '业绩', '同比', '稳步增长']"
343,贵州茅台,"['Q2', '业绩', '符合', '预期', '改革', '深化', '效果', '显现']","['Q2', '业绩', '符合', '预期', '改革', '深化', '效果', '显现']"
344,传媒行业,"['微信', '视频', '号', '广告', '上线', '字节', '压缩', '22', '－', '23', '招聘', '计划']","['微信', '视频', '号', '广告', '上线', '字节', '压缩', '22', '－', '23', '招聘', '计划']"
345,食品饮料,"['多重', '因素', '催化', '重视', 'Q3', '啤酒', '板块', '的', '投资', '价值']","['多重', '因素', '催化', '重视', 'Q3', '啤酒', '板块', '的', '投资', '价值']"
346,医药生物,"['2022Q2', '医药', '持仓', '新低', '新一轮', '机遇', '会', '开启', '么', '？', '（', '附', '18', '图', '）']","['2022Q2', '医药', '持仓', '新低', '新一轮', '机遇', '会', '开启', '么', '？', '（', '附', '18', '图', '）']"
347,电力设备,"['关注', '锂电', '创新性', '技术', '锂', '资源', '短期', '缺口', '难补']","['关注', '锂电', '创新性', '技术', '锂', '资源', '短期', '缺口', '难补']"
348,钧达股份,"['全面', '转型', '光伏', 'TOPCon', '电池', '领先', '量产']","['全面', '转型', '光伏', 'TOPCon', '电池', '领先', '量产']"
349,太极集团,"['国药', '入主', '焕发', '新机', '老牌', '药企', '蓄势待发']","['国药', '入主', '焕发', '新机', '老牌', '药企', '蓄势待发']"
350,均胜电子,"['安全', '业务', '期待', '改善', '汽车', '电子', '业务', '持续', '获得', '订单']","['安全', '业务', '期待', '改善', '汽车', '电子', '业务', '持续', '获得', '订单']"
351,长远锂科,"['中高', '镍', '均衡', '发力', '一体化', '构筑', '成本', '优势']","['中高', '镍', '均衡', '发力', '一体化', '构筑', '成本', '优势']"
352,何氏眼科,"['立足', '辽宁', '发挥', '视光', '领域', '优势', '布局', '全国']","['立足', '辽宁', '发挥', '视光', '领域', '优势', '布局', '全国']"
353,思特威,"['卡位', '安防', '、', '机器', '视觉', '、', '汽车', 'CIS', '高增', '市场']","['卡位', '安防', '、', '机器', '视觉', '、', '汽车', 'CIS', '高增', '市场']"
354,化工行业,"['原油', '高位', '震荡', '制冷剂', '、', 'PVC', '价格', '回升']","['原油', '高位', '震荡', '制冷剂', '、', 'PVC', '价格', '回升']"
355,房地产行,"['7', '月', '销售', '回暖', '趋弱', '二季度', '公募', '地产', '持仓', '下降']","['7', '月', '销售', '回暖', '趋弱', '二季度', '公募', '地产', '持仓', '下降']"
356,瀚川智能,"['打开', '换', '电设备', '第二', '增长极', '“', '1', '＋', 'N', '”', '战略', '布局', '扬帆', '起航']","['打开', '换', '电设备', '第二', '增长极', '“', '1', '＋', 'N', '”', '战略', '布局', '扬帆', '起航']"
357,韵达股份,"['存在', '预期', '差', '的', 'A股', '加盟', '快递', '龙头']","['存在', '预期', '差', '的', 'A股', '加盟', '快递', '龙头']"
358,克明食品,"['品类', '拓展', '结构', '优化', '面条', '龙头', '踏步', '前行']","['品类', '拓展', '结构', '优化', '面条', '龙头', '踏步', '前行']"
359,华大九天,"['国产', '突破', '华年', '大鹏', '展翅', '九天']","['国产', '突破', '华年', '大鹏', '展翅', '九天']"
360,天宜上佳,"['碳基', '新贵', '的', '“', '三段', '击', '”']","['碳基', '新贵', '的', '“', '三段', '击', '”']"
361,平治信息,"['围绕', '运营商', '客户资源', '拟', '布局', '分布式', '储能', '云', '业务']","['围绕', '运营商', '客户资源', '拟', '布局', '分布式', '储能', '云', '业务']"
362,申能股份,"['平山', '二期', '投产', '新能源', '维持', '高', '增长']","['平山', '二期', '投产', '新能源', '维持', '高', '增长']"
363,中航重机,"['航空', '锻造', '平台', '型', '龙头', '产业链', '一体化', '拓展']","['航空', '锻造', '平台', '型', '龙头', '产业链', '一体化', '拓展']"
364,食品饮料,"['白酒', '板块', '回暖', '主旋律', '集中', '进行', '时']","['白酒', '板块', '回暖', '主旋律', '集中', '进行', '时']"
365,医药行业,"['中药', '重点', '标的', '基本面', '更新']","['中药', '重点', '标的', '基本面', '更新']"
366,电子周报,"['百度', '第六代', '无人', '车', '兼顾', '智能化', '与', '低成本', 'ASML', '新增', '订单', '饱满']","['百度', '第六代', '无人', '车', '兼顾', '智能化', '与', '低成本', 'ASML', '新增', '订单', '饱满']"
367,双良节能,"['硅片', '在手', '订单', '饱满', '还原炉', '业务', '有望', '高增']","['硅片', '在手', '订单', '饱满', '还原炉', '业务', '有望', '高增']"
368,苏博特,"['短期', '受益', '于', '基建', '弹性', '中长期', '新', '材料', '提供', '成长性']","['短期', '受益', '于', '基建', '弹性', '中长期', '新', '材料', '提供', '成长性']"
369,复旦微电,"['Q2', '业绩', '持续', '高增', 'FPGA', '引领', '成长']","['Q2', '业绩', '持续', '高增', 'FPGA', '引领', '成长']"
370,宝立食品,"['复调', '速食', '齐头并进', '多点', '花开', '可期']","['复调', '速食', '齐头并进', '多点', '花开', '可期']"
371,诺唯赞,"['生命科学', '上游', '平台', '龙头', '国产', '替代', '持续', '加速']","['生命科学', '上游', '平台', '龙头', '国产', '替代', '持续', '加速']"
372,中国电建,"['新老', '基建', '齐发', '力', 'Q2', '新签', '显著', '提速']","['新老', '基建', '齐发', '力', 'Q2', '新签', '显著', '提速']"
373,华能水电,"['开源节流', 'Q2', '业绩', '超', '预期']","['开源节流', 'Q2', '业绩', '超', '预期']"
374,美容护理,"['化妆品', '新锐', '品牌', '的', '突围', '之', '路', '—', '—', 'HBN', '解析']","['化妆品', '新锐', '品牌', '的', '突围', '之', '路', '—', '—', 'HBN', '解析']"
375,恒玄科技,"['短期', '业绩', '承压', '新', '产品', '打开', '成长', '空间']","['短期', '业绩', '承压', '新', '产品', '打开', '成长', '空间']"
376,容知日新,"['从', 'PHM', '系统', '体系', '理解', '公司', 'α']","['从', 'PHM', '系统', '体系', '理解', '公司', 'α']"
377,诺唯赞2,"['22H1', '业绩', '符合', '预期', '新冠', '业务', '持续', '带来', '现金流']","['22H1', '业绩', '符合', '预期', '新冠', '业务', '持续', '带来', '现金流']"
378,时代电气,"['新兴', '装备', '业务', '发力', '公司业绩', '稳步增长']","['新兴', '装备', '业务', '发力', '公司业绩', '稳步增长']"
379,硅宝科技,"['新获', '光伏', '胶', '专利', '“', '打擂', '”', '高', '景气', '赛道']","['新获', '光伏', '胶', '专利', '“', '打擂', '”', '高', '景气', '赛道']"
380,万顺新材,"['业绩', '预告', '同比', '大增', '紧抓', '市场', '机遇', '，', '建设', '5', '万吨', '电池', '用涂', '碳', '铝箔', '项目']","['业绩', '预告', '同比', '大增', '紧抓', '市场', '机遇', '，', '建设', '5', '万吨', '电池', '用涂', '碳', '铝箔', '项目']"
381,明月镜片,"['3', '个', '月', '临床', '研究', '表明', '佩戴', '轻松', '控可', '延缓', '儿童', '眼轴', '增长', '1', '／', '3']","['3', '个', '月', '临床', '研究', '表明', '佩戴', '轻松', '控可', '延缓', '儿童', '眼轴', '增长', '1', '／', '3']"
382,德昌股份,"['“', '汽零', '＋', '家电', '制造', '”', '双轮', '驱动', '电机', '优势', '打开', '成长', '天花板']","['“', '汽零', '＋', '家电', '制造', '”', '双轮', '驱动', '电机', '优势', '打开', '成长', '天花板']"
383,容百科技,"['全', '市场', '覆盖', '的', '正极', '材料', '综合', '供应商']","['全', '市场', '覆盖', '的', '正极', '材料', '综合', '供应商']"
384,时代电气,"['业绩', '预告', '符合', '预期', 'IGBT', '芯片', '及', '汽车', '电驱', '推动', '新兴', '业务', '高速', '发展']","['业绩', '预告', '符合', '预期', 'IGBT', '芯片', '及', '汽车', '电驱', '推动', '新兴', '业务', '高速', '发展']"
385,申能股份,"['疫情', '冲击', '在', '沪', '机组', '风光', '高增', '趋势', '不改']","['疫情', '冲击', '在', '沪', '机组', '风光', '高增', '趋势', '不改']"
386,中瓷电子,"['电子陶瓷', '外壳', '“', '一枝独秀', '”', '碳化硅', 'MOSFET', '“', '勇立', '潮头', '”']","['电子陶瓷', '外壳', '“', '一枝独秀', '”', '碳化硅', 'MOSFET', '“', '勇立', '潮头', '”']"
387,鼎捷软件,"['业务', '实现', '稳健', '增长', '聚焦', '优势', '行业', '客户']","['业务', '实现', '稳健', '增长', '聚焦', '优势', '行业', '客户']"
388,煤炭,"['需求', '预期', '好转', '布局', '良机', '再现']","['需求', '预期', '好转', '布局', '良机', '再现']"
389,医药生物,"['技术升级', '＋', '进口', '替代', '国产', '影像', '设备', '行业', '高速', '发展']","['技术升级', '＋', '进口', '替代', '国产', '影像', '设备', '行业', '高速', '发展']"
390,中国黄金,"['黄金', '行业龙头', '“', '品牌', '”', '＆', '“', '渠道', '”', '驱动', '高增']","['黄金', '行业龙头', '“', '品牌', '”', '＆', '“', '渠道', '”', '驱动', '高增']"
391,粤水电,"['传统', '水利水电', '龙头', '清洁', '能源', '发电', '打造', '新', '增长极']","['传统', '水利水电', '龙头', '清洁', '能源', '发电', '打造', '新', '增长极']"
392,鸿路钢构,"['柳暗花明', '行稳', '致远']","['柳暗花明', '行稳', '致远']"
393,宁德时代,"['宁德', '时代', '当下', '的', '投资', '价值', '在', '哪里', '？']","['宁德', '时代', '当下', '的', '投资', '价值', '在', '哪里', '？']"
394,聚灿光电,"['Mini', '、', 'micro', '_', 'LED', '空间', '广阔', '定增', '扩产', '加码', '成长']","['Mini', '、', 'micro', '_', 'LED', '空间', '广阔', '定增', '扩产', '加码', '成长']"
395,水井坊公,"['聚焦', '核心', '市场', '重塑', '高端', '形象']","['聚焦', '核心', '市场', '重塑', '高端', '形象']"
396,紫金银行,"['净利润', '同比', '增', '10', '％', '不良率', '环比', '大幅', '改善']","['净利润', '同比', '增', '10', '％', '不良率', '环比', '大幅', '改善']"
397,鼎阳科技,"['电子', '测量', '仪器', '翘楚', '剑', '指', '高端', '国产', '替代']","['电子', '测量', '仪器', '翘楚', '剑', '指', '高端', '国产', '替代']"
398,春立医疗,"['冬去', '“', '春', '”', '来', '建功', '“', '立', '”', '事']","['冬去', '“', '春', '”', '来', '建功', '“', '立', '”', '事']"
399,联泓新科,"['2Q', '利润', '创', '季度', '新高', '看好', 'EVA', '景气', '持续']","['2Q', '利润', '创', '季度', '新高', '看好', 'EVA', '景气', '持续']"
400,鼎胜新材,"['业绩', '预告', '超', '预期', '产销量', '逐步', '修复']","['业绩', '预告', '超', '预期', '产销量', '逐步', '修复']"
401,五粮液,"['向', '好', '趋势', '不变', '全年', '稳中求进']","['向', '好', '趋势', '不变', '全年', '稳中求进']"
402,天融信业,"['研发', '投入', '增速', '如期', '放缓', '下半年', '是', '发力', '的', '重点']","['研发', '投入', '增速', '如期', '放缓', '下半年', '是', '发力', '的', '重点']"
403,科锐国际,"['Q2', '海外', '成长', '加速', '国内', '经营', '稳健']","['Q2', '海外', '成长', '加速', '国内', '经营', '稳健']"
404,德昌股份,"['双', '成长', '曲线', '小家电', '品类', '扩张', '叠加', '汽零', '电机', '崛起']","['双', '成长', '曲线', '小家电', '品类', '扩张', '叠加', '汽零', '电机', '崛起']"
405,复旦微电,"['22H1', '收入', '和', '利润', '同比', '大幅', '增长', '各', '产品线', '经营', '势头', '持续', '向', '好']","['22H1', '收入', '和', '利润', '同比', '大幅', '增长', '各', '产品线', '经营', '势头', '持续', '向', '好']"
406,华海清科,"['成长', '动能', '充足', 'H1', '业绩', '超', '预期']","['成长', '动能', '充足', 'H1', '业绩', '超', '预期']"
407,联泓新科,"['Q2', '业绩', '创', '季度', '新高', '新', '材料', '布局', '赋能', '成长']","['Q2', '业绩', '创', '季度', '新高', '新', '材料', '布局', '赋能', '成长']"
408,启明星辰,"['疫情', '暂时', '承压', '与', '移动', '的', '协同效应', '将', '逐步', '显现']","['疫情', '暂时', '承压', '与', '移动', '的', '协同效应', '将', '逐步', '显现']"
409,化工行业,"['欧洲', '成本', '大增', '利好', '中国', '化工品', '出口', '—', '—', '2022', '年', '7', '月', '更新版']","['欧洲', '成本', '大增', '利好', '中国', '化工品', '出口', '—', '—', '2022', '年', '7', '月', '更新版']"
410,食品饮料,"['餐饮', '供应链']","['餐饮', '供应链']"
411,房贷利率,"['房地产', '及物管', '行业', '周报', '—', '—', '2022', '年', 'W29', '（', '2022.7', '.', '16', '－', '2022.7', '.', '22', '）']","['房地产', '及物管', '行业', '周报', '—', '—', '2022', '年', 'W29', '（', '2022.7', '.', '16', '－', '2022.7', '.', '22', '）']"
412,医药行业,"['震荡', '行情', '寻找', '个股', '机会']","['震荡', '行情', '寻找', '个股', '机会']"
413,晶晨股份,"['业绩', '逆势', '高增', '龙头', '地位', '稳固', '—', '—', '中', '小盘', '信息', '更新']","['业绩', '逆势', '高增', '龙头', '地位', '稳固', '—', '—', '中', '小盘', '信息', '更新']"
414,联泓新科,"['光伏', '高', '景气', 'EVA', '量利', '齐升', 'Q2', '业绩', '创', '历史', '新高']","['光伏', '高', '景气', 'EVA', '量利', '齐升', 'Q2', '业绩', '创', '历史', '新高']"
415,联泓新科,"['业绩', '符合', '预期', '新能源', '材料', '、', '生物', '可降解', '材料', '、', '电子', '特气', '领域', '逐步', '布局']","['业绩', '符合', '预期', '新能源', '材料', '、', '生物', '可降解', '材料', '、', '电子', '特气', '领域', '逐步', '布局']"
416,裕同科技,"['并购', '声学', '类', '领先', '制造商', '华宝', '利', '深化', '消费', '电子', '产业布局']","['并购', '声学', '类', '领先', '制造商', '华宝', '利', '深化', '消费', '电子', '产业布局']"
417,鼎捷软件,"['收入', '稳健', '增长', '工业', '富联', '协同效应', '值得', '期待', '—', '—', '公司', '信息', '更新', '报告']","['收入', '稳健', '增长', '工业', '富联', '协同效应', '值得', '期待', '—', '—', '公司', '信息', '更新', '报告']"
418,江山欧派,"['22H1', '业绩', '暂', '承压', '控本', '节流', '下', '有望', '改善']","['22H1', '业绩', '暂', '承压', '控本', '节流', '下', '有望', '改善']"
419,鼎胜新材,"['拟定', '增', '扩产', '80', '万吨', '电池', '铝箔', '及', '配套', '坯料']","['拟定', '增', '扩产', '80', '万吨', '电池', '铝箔', '及', '配套', '坯料']"
420,复旦微电,"['产品', '结构', '持续', '调整', '业绩', '保持', '高增', '态势']","['产品', '结构', '持续', '调整', '业绩', '保持', '高增', '态势']"
421,中控技术,"['订单', '释放', '加速', '半年报', '超', '预期']","['订单', '释放', '加速', '半年报', '超', '预期']"
422,中联重科,"['发布', '大额', '股份', '回购', '计划', '坚定', '长期', '发展', '信心']","['发布', '大额', '股份', '回购', '计划', '坚定', '长期', '发展', '信心']"
423,裕同科技,"['拟', '收购', '华宝', '利', '拓宽', '业务', '边界', '盈利', '能力', '拐点', '可', '期']","['拟', '收购', '华宝', '利', '拓宽', '业务', '边界', '盈利', '能力', '拐点', '可', '期']"
424,鲁商发展,"['疫情', '下', '化妆品', '收入', '延续', '高增', '原料', '增长', '提速']","['疫情', '下', '化妆品', '收入', '延续', '高增', '原料', '增长', '提速']"
425,五粮液,"['疾风知劲草', '价稳量', '先行']","['疾风知劲草', '价稳量', '先行']"
426,捷佳伟创,"['获', '头部', '客户', '订单', 'TOPCon', '设备', '大有可为']","['获', '头部', '客户', '订单', 'TOPCon', '设备', '大有可为']"
427,晶晨股份,"['半年度', '业绩', '预告', '高', '增长', '新', '产品', '预期', '下半年', '陆续', '量产']","['半年度', '业绩', '预告', '高', '增长', '新', '产品', '预期', '下半年', '陆续', '量产']"
428,中控技术,"['中', '报', '业绩', '超', '预期', '持续', '彰显', '技术实力']","['中', '报', '业绩', '超', '预期', '持续', '彰显', '技术实力']"
429,中控技术,"['业绩', '高', '增长', '盈利', '能力', '提升', '—', '—', '公司', '信息', '更新', '报告']","['业绩', '高', '增长', '盈利', '能力', '提升', '—', '—', '公司', '信息', '更新', '报告']"
430,中控技术,"['上半年', '业绩', '预告', '大超', '预期', '管理', '变革', '效果', '凸显']","['上半年', '业绩', '预告', '大超', '预期', '管理', '变革', '效果', '凸显']"
431,珀莱雅,"['疫情', '等', '不利因素', '冲击', '下', '二季度', '营收', '仍', '维持', '较', '好', '表现', '—', '—', '公司', '信息', '更新', '报告']","['疫情', '等', '不利因素', '冲击', '下', '二季度', '营收', '仍', '维持', '较', '好', '表现', '—', '—', '公司', '信息', '更新', '报告']"
432,互联网传,"['《', '推进', '对外', '文化', '贸易', '高质量', '发展', '的', '意见', '》', '落地', '文化产业', '迎', '重大', '政策', '利好']","['《', '推进', '对外', '文化', '贸易', '高质量', '发展', '的', '意见', '》', '落地', '文化产业', '迎', '重大', '政策', '利好']"
433,宁德时代,"['推出', '激励', '计划', '绑定', '员工', '利益', '，', '彰显', '发展', '信心']","['推出', '激励', '计划', '绑定', '员工', '利益', '，', '彰显', '发展', '信心']"
434,立华股份,"['股权', '激励', '彰显', '信心', '景气', '提升', '长期', '发展', '向', '好']","['股权', '激励', '彰显', '信心', '景气', '提升', '长期', '发展', '向', '好']"
435,华阳股份,"['携手', '中', '科海', '钠', '钠离子', '电池', '业务', '为', '公司', '贡献', '新', '成长', '—', '—', '公司', '深度', '报告', '（', '二', '）']","['携手', '中', '科海', '钠', '钠离子', '电池', '业务', '为', '公司', '贡献', '新', '成长', '—', '—', '公司', '深度', '报告', '（', '二', '）']"
436,太龙药业,"['回购', '开启', '激励', '将', '至']","['回购', '开启', '激励', '将', '至']"
437,苏泊尔2,"['外需', '承压', '成本', '优化']","['外需', '承压', '成本', '优化']"
438,East,"['Business', '_', 'improves', '_', 'qoq', '_', 'in', '_', '2Q22']","['Business', '_', 'improves', '_', 'qoq', '_', 'in', '_', '2Q22']"
439,CSCE,"['Order', '_', 'growth', '_', 'recovered', '_', 'in', '_', 'June', '；', 'property', '_', 'edge', '_', 'to', '_', 'be', '_', 'enhanced']","['Order', '_', 'growth', '_', 'recovered', '_', 'in', '_', 'June', '；', 'property', '_', 'edge', '_', 'to', '_', 'be', '_', 'enhanced']"
440,宝立食品,"['方便', '速食', '冲锋', '定制', '西调', '称王']","['方便', '速食', '冲锋', '定制', '西调', '称王']"
441,珀莱雅,"['公告', '22Q2', '归母', '净利', '同增', '15', '－', '22', '％', '大', '单品', '战略', '持续', '抢占', '消费者', '心智', '，', '品牌', '力', '认可', '再下', '一城']","['公告', '22Q2', '归母', '净利', '同增', '15', '－', '22', '％', '大', '单品', '战略', '持续', '抢占', '消费者', '心智', '，', '品牌', '力', '认可', '再下', '一城']"
442,行动教育,"['推', '期权', '激励', '绑定', '核心', '骨干', '彰显', '发展', '信心']","['推', '期权', '激励', '绑定', '核心', '骨干', '彰显', '发展', '信心']"
443,中国电建,"['6', '月', '订单', '大增', '129', '％', '能源', '电力', '、', '水利', '投资', '高', '景气']","['6', '月', '订单', '大增', '129', '％', '能源', '电力', '、', '水利', '投资', '高', '景气']"
444,中控技术,"['业绩', '超', '预期', '工业', '软件', '延续', '高', '增长', '趋势']","['业绩', '超', '预期', '工业', '软件', '延续', '高', '增长', '趋势']"
445,中控技术,"['2022H1', '实现', '快速', '成长', '行业', '景气', '度', '有望', '维持']","['2022H1', '实现', '快速', '成长', '行业', '景气', '度', '有望', '维持']"
446,中控技术,"['半年度', '业绩', '符合', '预期', '看好', '国际', '市场', '拓展']","['半年度', '业绩', '符合', '预期', '看好', '国际', '市场', '拓展']"
447,捷佳伟创,"['TOPCon', '设备', '获', '头部', '客户', '订单', '；', '量产', '型', '钙钛矿', '电池', '核心', '装备', '出货']","['TOPCon', '设备', '获', '头部', '客户', '订单', '；', '量产', '型', '钙钛矿', '电池', '核心', '装备', '出货']"
448,贵州茅台,"['二季度', '显', '经营', '韧性', '改革', '推动', '增长', '加速']","['二季度', '显', '经营', '韧性', '改革', '推动', '增长', '加速']"
